"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"174","COLO",2021-08-26,"","","","","",3,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"175","COMU",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"176","COTE",2021-08-26,"","","","","",11,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"177","Calidris sp.",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"178","DCCO",2021-08-26,"","","","","",92,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"179","Duck sp.",2021-08-26,"","","","","",5,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"180","GBHE",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"181","GRCO",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"182","GREG",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"183","GRSC",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
"184","GWTE",2021-08-26,"","","","","",0,420,"5:15-8:15  13:33-17:33","","","ACK","multiple directions, 2-11 mph","","","5 mi"
